Name,Description
Anthropic,Develops safety-focused generative AI models and APIs that prioritize context-aware reasoning.
Arize Phoenix,"Correlates telemetry, traces, and evaluations so teams can debug incidents in production ML services."
AWS,"Provides globally distributed compute, storage, and AI services that host scalable LLM workloads."
AWS Samples,Showcases reference builds and patterns that accelerate AWS-based generative AI initiatives.
Databricks,"Combines lakehouse storage, feature engineering, and MLflow tracking for collaborative experimentation."
EleutherAI,Maintains open research models and datasets that teams can benchmark or fine-tune freely.
Google Cloud,"Delivers Vertex AI, data platforms, and governance controls suited for enterprise LLM deployments."
Hugging Face,"Offers open-source models, datasets, and inference endpoints backed by a vibrant community."
IBM,"Provides enterprise-grade governance, security, and hybrid deployment tooling for AI services."
LangChain,"Frames how prompts, retrieval, and tool calls compose into long-running application logic."
LlamaIndex,Builds connectors and indexes that keep external knowledge searchable for retrieval-augmented apps.
Microsoft,Blends Azure infrastructure and copilots with guardrails for responsible generative AI adoption.
MLflow,"Tracks experiments, parameters, and artifacts to make comparison, promotion, and lineage reproducible."
OpenClaw,Supports local-first agent runtimes and secure gateways for experimenting with autonomous workflows.
OpenRLHF,Publishes open-source pipelines for reinforcement learning from human feedback to refine policies.
Oracle,"Integrates cloud compute, databases, and operations tooling for enterprise AI services."
Sebastian Raschka,"Shares practical machine learning tutorials, open-source code, and evaluation guidance."
vLLM Project,Develops efficient serving infrastructure that batches requests and stretches limited GPU memory for LLMs.
